fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1340334,Primera División,Sport Boys,2544,away,home,0.45,0.45,0.1,True,False,False,False,-3.5,-1.5,False,3.0,6.0,13.0,4.0,8.0,5.0,8.0,2.0,2.0,64%,3.0,2.0,426.0,357.0,84%,,1.15,,,,,,,,,,,,
1391872,Primera División,UTC,2539,home,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391872,Primera División,FBC Melgar,2554,away,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391873,Primera División,ADT,10492,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391873,Primera División,Cienciano,2562,away,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391874,Primera División,Cusco,10013,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391874,Primera División,Alianza Lima,2553,away,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381505,Premier League,Safa,4573,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1381505,Premier League,Al Ansar,4569,away,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405332,Primera División,Deportivo Garcilaso,20960,home,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
